name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,r2_1_2,r2_1_3,r2_1_4,r2_1_5,r2_2_1,r2_2_2,r2_2_3,r2_2_4,r2_2_5,FC_r2_2
Gapdh,-0.225294158,-0.238049305,-0.191566387,-0.205942099,-0.220926919,0.0853307,0.058910912,0.125844842,0.114737478,0.025261833,2.178746028,-0.668846132,-0.387207735,-0.201301144,-0.549000776,-0.543169619,-0.253179633,-0.179072898,-0.408189221,-0.076603782,-0.302641275,0.88067364
Mfap4,-0.531245656,-0.506445981,-0.541407683,-0.411302272,-0.496205588,-0.45752073,-0.375545225,-0.364479982,-0.451617961,-0.16626088,0.959392534,-0.520735673,-0.497248014,-0.464782329,-0.518345098,-0.478111501,-0.246649006,-0.246729064,-0.188470955,-0.156405018,-0.157796719,1.159595906
Reln,-0.107157698,0.00599934,0.067455747,-0.075859925,-0.046096694,0.051880709,0.012123309,-0.475678793,-0.046651673,-0.006795938,-0.462025253,-0.520349873,0.145291527,0.043558502,-0.165662321,-0.415524403,-0.339589123,-0.423594757,-0.443081354,-0.129674596,-0.356471794,-0.620767834
Amy1,0.064424756,0.041539491,0.061440897,0.029110095,0.046997289,-0.02371469,0.030926148,-0.005335224,-0.168925106,0.019613536,-0.570773867,-0.493373124,-0.502584227,-0.518334662,-0.434169003,-0.258624231,-0.516167137,-0.410735455,-0.430375144,-0.225096438,-0.130951927,0.376585067
Amy2,0.064424756,0.041539491,0.061440897,0.029110095,0.046997289,-0.02371469,0.030926148,-0.005335224,-0.168925106,0.019613536,-0.570773867,-0.493373124,-0.502584227,-0.518334662,-0.434169003,-0.258624231,-0.516167137,-0.410735455,-0.430375144,-0.225096438,-0.130951927,0.376585067
C1sb,-0.454881408,-0.660758313,-0.599425434,-0.500615912,-0.499989018,-0.08533615,-0.518609613,-0.196924502,-0.314918104,-0.739095238,1.232121055,-0.473782547,-0.33686183,-0.338244688,-0.21029076,-0.166459976,-0.162348389,-0.228080047,-0.144899414,-0.000959642,-0.495887404,0.379706121
Lcat,-0.145772207,-0.073674094,-0.623050517,-0.416420729,-0.481158816,-0.537056799,0.001128855,-0.081480634,0.015449228,-0.445461131,0.997236965,-0.45096805,-0.253589495,-0.400217652,-0.437730402,-0.2909074,0.030435479,-0.11250147,0.29117824,0.241170648,0.028322036,1.820510782
C2,0.267587927,0.18732184,0.268143364,0.195308793,0.200428655,0.039310094,0.02995963,0.049264448,0.030012425,0.033158399,-1.363820018,-0.420368194,0.043812927,0.11588124,0.012025658,-0.013309943,-0.453391032,-0.323530969,-0.255387359,-0.133813523,-0.444067294,-1.069199512
Saa1,-0.676701718,-0.509054875,-0.483702987,-0.424755789,-0.54007027,-0.418222734,-0.525677739,-0.27939607,-0.46129924,-0.426906474,0.741575966,-0.406764201,-0.434000244,-0.415693505,-0.279189338,-0.369720871,-0.312834074,-0.999815085,-0.229889493,-0.059167474,-0.179840141,0.087783286
Saa2,-0.165161264,-0.328935908,-0.323406801,-0.333882358,-0.340061481,-0.201555043,-0.476275864,-0.436034296,-0.51765939,-0.296057526,-0.660464953,-0.406764201,-0.434000244,-0.415693505,-0.279189338,-0.369720871,-0.312834074,-0.999815085,-0.229889493,-0.059167474,-0.179840141,0.087783286
Psmb3,-0.641315028,-0.282175158,-0.403979311,-0.232336665,-0.231136962,-0.420898437,-0.675100735,-0.411887182,-0.383651858,-0.403210639,-0.75580131,-0.395055128,-0.288384395,-0.254973056,-0.294927642,-0.128812027,-0.026648961,-0.218489505,0.02358363,-0.139384178,-0.22252247,0.608386484
Vcp,-0.19026174,-0.284948734,-0.061890131,-0.09360598,-0.152614028,0.159557365,0.200268521,0.297413875,0.228853845,0.218382033,2.765159707,-0.386069775,-0.01843025,-0.084157857,-0.398025108,0.071026988,0.292215844,0.30788376,0.017515746,-0.002384102,0.072596792,1.185518636
Pf4,-0.059594109,-0.057380576,-0.14264206,-0.191437526,-0.198078531,0.297867482,0.287897057,0.356990889,0.027538197,0.265837554,2.761354697,-0.379120518,-0.424378908,-0.369664953,-0.291424447,-0.469043821,-0.599690356,-0.611967161,-0.210342774,-0.194911458,-0.556049082,-0.20097451
Pigr,0.076577053,-0.004673973,-0.037140279,0.024650881,-0.028575663,-0.049695937,-0.102860401,-0.119453426,-0.075701671,-0.08545339,-0.682376691,-0.355281279,-0.44005717,-0.367464924,-0.302978077,-0.420417995,-0.113812914,0.05698073,-0.510766774,-0.174186539,0.087211701,0.962485624
Mup17,-0.038183975,0.115041719,0.212048485,-0.06385301,0.115272918,-0.027796187,-0.093412869,-0.158154848,-0.054140895,-0.200112599,-1.280766502,-0.33547407,-0.126100374,-0.169015754,-0.386995321,-0.421505729,0.097867523,0.086901331,-0.142967849,0.077495868,0.34916826,1.503323085
