name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_2_1,2_2_2,2_2_3,2_2_4,2_2_5,FC_2
Gapdh,-0.225294158,-0.238049305,-0.191566387,-0.205942099,-0.220926919,0.0853307,0.058910912,0.125844842,0.114737478,0.025261833,2.178746028
Mfap4,-0.531245656,-0.506445981,-0.541407683,-0.411302272,-0.496205588,-0.45752073,-0.375545225,-0.364479982,-0.451617961,-0.16626088,0.959392534
Reln,-0.107157698,0.00599934,0.067455747,-0.075859925,-0.046096694,0.051880709,0.012123309,-0.475678793,-0.046651673,-0.006795938,-0.462025253
Amy1,0.064424756,0.041539491,0.061440897,0.029110095,0.046997289,-0.02371469,0.030926148,-0.005335224,-0.168925106,0.019613536,-0.570773867
Amy2,0.064424756,0.041539491,0.061440897,0.029110095,0.046997289,-0.02371469,0.030926148,-0.005335224,-0.168925106,0.019613536,-0.570773867
C1sb,-0.454881408,-0.660758313,-0.599425434,-0.500615912,-0.499989018,-0.08533615,-0.518609613,-0.196924502,-0.314918104,-0.739095238,1.232121055
Lcat,-0.145772207,-0.073674094,-0.623050517,-0.416420729,-0.481158816,-0.537056799,0.001128855,-0.081480634,0.015449228,-0.445461131,0.997236965
C2,0.267587927,0.18732184,0.268143364,0.195308793,0.200428655,0.039310094,0.02995963,0.049264448,0.030012425,0.033158399,-1.363820018
Saa1,-0.676701718,-0.509054875,-0.483702987,-0.424755789,-0.54007027,-0.418222734,-0.525677739,-0.27939607,-0.46129924,-0.426906474,0.741575966
Saa2,-0.165161264,-0.328935908,-0.323406801,-0.333882358,-0.340061481,-0.201555043,-0.476275864,-0.436034296,-0.51765939,-0.296057526,-0.660464953
Psmb3,-0.641315028,-0.282175158,-0.403979311,-0.232336665,-0.231136962,-0.420898437,-0.675100735,-0.411887182,-0.383651858,-0.403210639,-0.75580131
Vcp,-0.19026174,-0.284948734,-0.061890131,-0.09360598,-0.152614028,0.159557365,0.200268521,0.297413875,0.228853845,0.218382033,2.765159707
Pf4,-0.059594109,-0.057380576,-0.14264206,-0.191437526,-0.198078531,0.297867482,0.287897057,0.356990889,0.027538197,0.265837554,2.761354697
Pigr,0.076577053,-0.004673973,-0.037140279,0.024650881,-0.028575663,-0.049695937,-0.102860401,-0.119453426,-0.075701671,-0.08545339,-0.682376691
Mup17,-0.038183975,0.115041719,0.212048485,-0.06385301,0.115272918,-0.027796187,-0.093412869,-0.158154848,-0.054140895,-0.200112599,-1.280766502
Psmb4,-0.142967547,-0.214329043,-0.176201978,-0.196792315,-0.189812371,-0.00710705,-0.055708817,0.053252414,-0.217087529,-0.114026408,0.841381271
Aldoa,-0.288910734,-0.218495597,-0.219707867,-0.232279448,-0.207035298,-0.173134039,-0.19180837,-0.164311643,-0.187147893,-0.022107735,0.616005198
Prdx2,0.02153191,-0.050832956,-0.116985217,0.092444616,-0.601341709,0.069455605,0.072226977,0.014955516,0.192495757,0.057890574,1.548907595
Lrp1,-0.115997297,-0.023161588,-0.127986663,-0.163947125,-0.140511027,-0.204918819,-0.224084671,-0.179307027,-0.192611402,-0.154275438,-0.569880799
Saa4,0.070206292,0.029345664,0.007920982,0.069322627,0.057417247,0.027291667,0.114282821,0.185741089,0.083090034,0.087463094,0.391511368
Apoc4,-0.136006332,-0.160786653,-0.107430254,-0.315676078,-0.21956558,-0.162423816,-0.13097182,-0.063569514,-0.106406494,-0.153032813,0.463036188
Apom,-0.160630754,-0.283918549,-0.307020325,-0.194461334,-0.21430157,-0.151704945,-0.215098264,-0.060992506,-0.106741649,-0.19206132,0.624322457
Apoc2,-0.00113417,-0.051892859,-0.083259491,-7.69E-05,-0.050851444,0.106497906,0.078322436,0.187389643,0.114218728,0.151750542,1.210788458
Psmb5,-0.099474405,0.032323543,-0.017938789,0.133437044,0.070115213,0.193575603,0.126508171,0.036614568,-0.304683574,0.137088299,0.107416527
Serpina6,-0.531452315,-0.499398127,-0.421636565,-0.419154718,-0.416602028,-0.4188231,-0.300041207,-0.027724124,-0.200678519,-0.334565407,1.456627515
Psmb1,0.167739572,-0.008050554,-0.003921875,0.13117945,0.061085162,-0.230530705,-0.220114076,-0.194224431,-0.193034042,-0.282533537,-2.152583051
Proz,0.097017857,-0.05772232,-0.117718976,-0.075203171,-0.265610143,0.136176466,-0.090261232,0.090083525,-0.082823702,-0.013491626,0.667088685
C1sa,0.150054223,0.147835535,0.16349908,0.157871297,0.190541557,-0.140143587,-0.102689477,-0.303465204,0.099059154,-0.068280111,-1.939616112
F10,0.083791671,0.123762385,0.139977936,0.128969123,0.1042965,0.128847313,0.123527458,0.170668943,0.095576998,0.076851663,0.029113411
Tcn2,-0.466162783,-0.518565515,-0.539411807,-0.269133576,-0.604650657,-0.549846065,-0.511752989,-0.396816254,-0.544772393,-0.579107214,-0.295579035
Serping1,-0.03165945,-0.048206727,0.00563185,-0.192326881,-0.032000127,0.000817527,0.020028839,0.100651086,0.046772607,0.045977578,0.749568473
Orm1,-0.30958403,-0.42479266,-0.368265134,-0.462642316,-0.340414237,-0.383413891,-0.28791669,-0.473592818,-0.283126494,-0.771580315,-0.456439518
Psma4,-0.054016772,-0.141131413,-0.115218254,-0.156532516,-0.181808293,-0.189635441,0.248263657,-0.077164907,-0.116670597,-0.101075844,0.597680165
Serpina10,0.143532159,0.043220971,0.089620736,0.033175008,0.032330599,0.002937336,-0.029311553,0.135739822,-0.007569224,0.034606082,-0.297204599
Azgp1,0.385809265,0.278353313,0.38967897,0.199714521,0.276348153,0.199314899,0.243399094,0.28956588,0.24972583,0.245560166,-0.427265965
Serpinf1,0.135340829,0.086493702,-0.046348778,-0.043571982,0.055770226,0.234364629,-0.033550216,-0.010500206,-0.002490156,0.115531449,0.168865016
Krt10,-3.174955039,-3.199466481,-3.194775671,-3.203584922,-3.184752226,-3.199686225,-3.209235555,-3.168698506,-3.195861952,-3.191493869,-0.193054834
Serpina1c,-0.669346866,-0.433292926,-0.444129456,-0.62889823,-0.489360387,-0.688649075,-0.103755599,0.17860101,0.132111289,-0.755711055,2.073154724
Hspa1a,-0.308353916,0.015216526,-0.127752801,0.045435669,0.021431192,0.167926657,0.115757192,-0.36035555,-0.068978869,0.139886662,0.505373022
