name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_3_1,2_3_2,2_3_3,2_3_4,2_3_5,FC_3
A2m,2.793818204,2.803622086,2.799961444,2.685080445,2.663941802,2.768232822,2.857331795,2.760799613,2.70645781,3.501228914,0.352356776
Abcb9,0.758689669,2.069787485,1.997857373,1.990558038,2.187331152,0.435834347,0.321398101,0.405235886,0.369289092,0.367604556,-2.017195164
Actb,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-0.739987119,-0.791748135,-0.84049832,-1.252295961,-0.581904967,-1.479425553
Actbl2,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-0.739987119,-0.791748135,-0.84049832,-1.252295961,-0.581904967,-1.479425553
Actg1,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-0.739987119,-0.791748135,-0.84049832,-1.252295961,-0.581904967,-1.479425553
Adipoq,0.755678935,1.056505414,0.555761415,-0.183146703,0.223415192,-0.094057275,-0.012260677,0.089872946,-0.799441319,-0.364906465,-1.019054793
Afm,-0.166580458,-0.284365459,-0.114041396,-0.155792693,0.052059706,0.499610069,0.514223269,0.610271431,0.550595463,-0.285966104,0.780942623
Agt,-1.890724377,-1.391925729,-1.111117604,-1.497075664,-1.314711598,-0.615525381,-0.911054087,-0.553628392,-0.753372779,-0.593375058,1.045632241
Ahsg,0.942873408,0.93123405,0.956640889,1.053728287,0.996697634,0.981478825,0.911563677,0.976306996,1.000900608,0.127525886,-0.176902608
Aifm2,0.389816511,0.512552156,0.511232537,0.481785597,0.667802466,-0.87129732,-0.314997411,-0.262535944,-0.207425287,-0.189224208,-1.294486518
Alb,2.738206514,2.740877522,2.777925275,2.645033514,2.620034177,2.79628875,2.951564473,2.805861395,2.805383423,2.939833112,0.357069739
Aldh1a1,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.684776621,-1.116572755,-0.719342479,-0.708264681,-0.474573723,0.341793717
Aldh1a7,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.684776621,-1.116572755,-0.719342479,-0.708264681,-0.474573723,0.341793717
Aldoa,-1.254575395,-1.445416683,-1.061849414,-0.265088538,-0.660603253,-1.15527851,-1.280470289,-0.626382321,-0.755284317,-0.552863733,0.016890863
Aldob,-1.212248792,-1.364705372,-1.780398656,-1.365466419,-1.368333869,-0.855739602,-0.976911888,-0.82393914,-0.640141008,-0.885440978,0.789817522
Ambp,0.001120749,0.695674979,0.578240536,0.263664665,0.872467348,-0.629164228,-0.944304184,-0.454374019,-0.49604654,-0.636756094,-1.622528911
Amy1,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-0.890825193,-0.244162304,-1.096606923,-0.938591026,-0.946390239,0.939850375
Amy2a2,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-0.890825193,-0.244162304,-1.096606923,-0.938591026,-0.946390239,0.939850375
Angptl6,-0.3605225,-0.178674386,-0.420805856,-1.559425978,-0.220486231,-0.608058978,-0.869462831,-0.501660956,-0.452859327,-0.606495816,-0.105668099
Apcs,-0.543801204,-0.456495193,-0.837196793,-0.540366428,-0.151864491,-0.428219479,-0.485709796,-0.232594664,-0.011936611,-0.215666954,0.303918274
Apeh,-1.099892173,-1.31890958,-1.386201503,-0.94562344,-1.689686433,-0.946170431,-0.678572313,-0.940683037,-1.136839515,-0.752078197,0.517084661
Apoa1,1.787888436,1.698032176,1.887013457,1.801045635,1.670502012,1.354162467,1.408918307,1.508416318,1.440098734,0.606805398,-0.620844866
Apoa2,0.343911259,0.469120272,0.18238571,-0.367297981,0.00036417,0.691322868,0.141687225,-0.4259985,-0.497133172,-1.353556618,-0.534978174
Apoa4,-0.033099436,0.144241698,0.022735578,0.529064163,0.60789747,0.917895919,1.022336748,1.039030945,1.085711684,0.890720058,1.090329751
Apob,-0.312760499,-0.04413367,-0.120041626,-0.150158629,-0.091142598,-0.44613513,0.005781124,-0.007067553,0.012389934,-1.239675203,-0.243068984
Apoc1,-0.068017198,0.364759389,-0.074325202,0.415140873,0.396690266,0.120363705,-0.120979582,0.117246186,0.108630513,-0.724658466,-0.414857909
Apoc2,-1.063644087,-1.031950604,-1.07570864,-0.891594013,-0.696334762,-0.279242198,-0.914958247,-0.947694193,-0.797069423,-1.090966472,0.182481098
Apoc3,-0.135080565,-0.337478608,-0.187242568,-0.125867046,0.017700013,1.272166769,1.312733548,1.159999758,1.184728433,1.573477771,2.117571517
Apoc4,-1.137779176,-1.539852302,-0.852515314,-0.686336277,-0.193733446,-0.752785009,-0.752440116,-0.457546304,-0.815490763,-0.281772361,0.315828207
Apoe,0.914438706,0.974923051,1.202835095,0.941337463,0.180338753,-0.43265193,-0.447472433,-0.323128252,-0.660170097,-0.581493758,-1.900899934
Apoh,0.73088512,0.82709093,0.605407337,0.60334367,0.576579111,0.64086773,0.817460473,0.370829909,0.815465034,-0.005244872,-0.143908944
Apom,-1.107884489,-1.653280516,-1.452008369,-1.083840816,-1.592416134,-1.017744758,-1.38196849,-1.351713246,-1.42184567,-0.246122628,0.324075344
Azgp1,-0.704122095,-0.778222765,-0.685661102,-0.483545009,-0.280374555,-0.051435588,-0.728278146,0.144935936,-0.016128908,0.121996444,0.6665146
B2m,-0.114801553,0.532323974,-0.243073509,0.548024668,0.777297642,-0.075995269,0.068912487,0.627175894,0.115823319,0.538757687,-0.09031315
B4galt3,-1.107373624,-1.29308238,-1.636156722,-1.230955006,-1.120140039,-0.860834133,-0.826250652,-0.473676278,-1.209424223,-0.908217845,0.551736522
C1qa,0.192485126,-0.245238983,-0.356243602,-0.020835563,0.119621624,0.443802537,0.468471394,0.325650635,0.40204697,0.41215214,0.684621762
C1qb,1.234367352,1.377671525,1.13355527,1.410970549,0.241665578,-0.080771537,-0.46803899,-0.291323884,-0.259826674,0.338992029,-1.77027946
C1qc,0.641727484,0.798621715,0.585751693,0.542002479,-1.441654554,-0.27853598,-0.192389856,-0.389369767,0.699772567,-0.724209345,-0.502034205
C1ra,0.167644633,-0.023464564,-0.029695777,0.046139693,0.147931992,-0.187824057,0.339494679,0.15266643,0.195023632,-0.022407722,0.050881345
C1rb,0.167644633,-0.023464564,-0.029695777,0.046139693,0.147931992,-0.187824057,0.339494679,0.15266643,0.195023632,-0.022407722,0.050881345
C1s1,-1.59107993,-1.330010239,-1.386880877,-1.000869825,-0.859037806,-0.826861301,-0.616058445,-0.781586868,-0.354471189,-0.059658543,0.942574086
C1s2,-0.931153676,-0.704529714,-0.223200466,-0.555130181,-0.251390188,0.101021678,-0.376475482,-0.837385981,-0.059362857,-0.100239862,0.380212148
C2,-1.477265918,-0.513779944,-0.375505209,-0.541783709,-0.557914759,-1.181849985,-0.983788986,-0.937429228,-1.44742009,-0.849362539,-0.622020732
C3,2.054531514,2.052668175,2.045584744,1.95076151,2.02052695,2.161925559,2.241196582,2.264923388,2.225121715,2.668980883,0.502700222
C4b,1.222744522,1.259961517,1.307869007,1.359565344,1.319245773,1.539036096,1.449060442,1.380220547,1.487870834,1.27396052,0.265808973
C4bp,1.358642429,1.552773854,1.409215277,1.564149496,1.482837163,0.813535858,0.584209321,0.673057722,0.648298906,0.459665675,-1.155425974
C8a,1.65955237,1.152158406,1.157485533,1.08143286,1.024615034,0.833918628,0.809428062,0.863349219,0.922709811,1.375954803,-0.333511978
C8b,1.125319687,1.101629552,1.190342769,1.112307534,1.195139332,1.136577442,1.069204098,1.124447636,1.037546994,0.904873212,-0.070153887
C8g,0.491460522,0.760384656,0.564025318,1.04385991,1.222089792,0.825369665,0.634500281,0.781685079,0.764898069,0.957260005,-0.018428223
C9,0.905289812,0.862717458,0.878578119,0.847401331,1.119825228,0.197327595,0.129426967,0.310376674,0.46639664,-0.803126375,-1.183371966
Cat,0.152756933,0.428973197,0.130554922,-0.335724683,-1.293300796,-0.523094374,-0.385234943,-0.335666327,-0.471446584,-0.739482386,-0.415486402
Cd5l,1.313325839,1.595442256,1.296292477,1.613841945,1.325580894,1.087274555,0.811223279,0.970988685,0.871731562,0.468942655,-0.774673522
Cdk1,-0.76974363,-1.95205903,-1.098780175,-0.89548277,-0.459008284,-0.523624038,0.597072134,0.692148975,0.652021498,-0.61600319,1.729369236
Ces1c,0.878532926,0.826057212,0.810458664,0.937481259,0.999572254,1.144459678,1.202281674,1.236722041,1.161983931,0.25804812,0.241935028
Cfb,0.631235299,0.774179802,0.654178225,0.982138107,0.852957082,1.067883743,1.028718357,0.916182259,0.917734671,-0.026945597,0.079534026
Cfd,-0.486607647,-0.302972377,-0.44291268,-0.142939514,0.043104799,0.201467337,0.30334883,0.159301132,0.30795395,0.181604174,0.711905645
Cfh,1.193700413,1.006144474,1.162504747,1.004576708,0.941210551,1.257933212,1.321789307,1.375302667,1.312511731,1.468841255,0.470100462
Cfi,0.515616404,0.442251484,0.380578079,0.51089493,0.597982769,0.721464929,0.420112596,0.620593943,0.726473345,1.411715358,0.416922688
Cfp,1.550087196,1.025039993,1.545272115,0.12807652,-0.17671674,0.258492167,0.451552537,-0.635208609,0.394342396,-1.170530936,-1.270817929
Clec11a,-1.444775414,-1.38874062,-0.774952563,-1.750818907,-1.3665024,-0.73721103,-0.862269516,-0.981402411,-0.842191542,-0.662093535,0.719278739
Clu,0.722215972,0.581068748,0.794235217,0.723689793,0.732034873,-0.375548115,0.192032962,-0.716472317,-0.300656011,-0.16213986,-1.429611675
Colec10,-1.358931918,-0.992291527,-1.776605033,-0.688071569,-1.67955024,-0.948951167,-1.379934243,-1.108128333,-0.642639094,-0.33627644,0.526802178
Colec11,-0.33852418,-0.648304918,-0.234722646,-0.504526266,-0.462161555,-0.677874728,-0.579392207,-1.175175508,-0.874846598,-1.074596875,-0.656181492
Cp,1.493863505,1.364959946,1.471394288,1.277187808,1.309669262,1.391373683,1.397148559,1.280771953,1.354899743,1.4586602,0.055861783
Cpb2,-0.268276333,-0.30743258,-0.463337375,-0.139544051,-0.235130839,-0.143132499,-0.204266669,-0.307348355,0.153145053,0.350225894,0.335717802
Cpn1,0.196766539,0.078870862,0.411717858,0.428847926,0.674047085,0.473565935,0.546330504,-0.129722017,-1.05365722,-0.608534361,-0.732346014
Cpn2,0.822374065,0.709223502,0.54814971,0.79776397,1.120418252,0.277290591,0.53445618,0.458464562,0.327492302,-0.569110842,-0.809714172
