name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
A2m,2.793818204,2.803622086,2.799961444,2.685080445,2.663941802,1.378321622,1.417859515,1.42656658,1.40479727,0.751788099
Abcb9,0.758689669,2.069787485,1.997857373,1.990558038,2.187331152,0.916406475,0.328330641,0.742108544,1.020405013,0.294899675
Actb,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,0.66225651,0.565768416,0.612817013,0.471481873,0.622908034
Actbl2,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,0.66225651,0.565768416,0.612817013,0.471481873,0.622908034
Actg1,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,0.66225651,0.565768416,0.612817013,0.471481873,0.622908034
Adipoq,0.755678935,1.056505414,0.555761415,-0.183146703,0.223415192,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.572016426
Afm,-0.166580458,-0.284365459,-0.114041396,-0.155792693,0.052059706,0.78930628,0.787720559,0.78648941,0.752214279,0.947145549
Agt,-1.890724377,-1.391925729,-1.111117604,-1.497075664,-1.314711598,0.526344504,0.512460496,0.516039281,0.497280887,1.059816429
Ahsg,0.942873408,0.93123405,0.956640889,1.053728287,0.996697634,1.00728479,0.956220263,0.966347287,0.93354374,0.80859512
Aifm2,0.389816511,0.512552156,0.511232537,0.481785597,0.667802466,0.77287281,0.783463709,0.833349877,0.774051789,0.753369618
Alb,2.738206514,2.740877522,2.777925275,2.645033514,2.620034177,1.435455061,1.460635488,1.459107424,1.410687439,0.806639099
Aldh1a1,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.095707712
Aldh1a7,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.095707712
Aldoa,-1.254575395,-1.445416683,-1.061849414,-0.265088538,-0.660603253,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.123343408
Aldob,-1.212248792,-1.364705372,-1.780398656,-1.365466419,-1.368333869,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.966447718
Ambp,0.001120749,0.695674979,0.578240536,0.263664665,0.872467348,0.831344909,0.790738272,0.826084733,0.812155585,0.79105392
Amy1,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.935454332
Amy2a2,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.935454332
Angptl6,-0.3605225,-0.178674386,-0.420805856,-1.559425978,-0.220486231,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.243633442
Apcs,-0.543801204,-0.456495193,-0.837196793,-0.540366428,-0.151864491,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.261065474
Apeh,-1.099892173,-1.31890958,-1.386201503,-0.94562344,-1.689686433,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.00568706
Apoa1,1.787888436,1.698032176,1.887013457,1.801045635,1.670502012,1.212469355,1.252182925,1.236372526,1.218233371,0.861152973
Apoa2,0.343911259,0.469120272,0.18238571,-0.367297981,0.00036417,0.872524253,0.950007409,0.919966514,0.931209078,1.02859011
Apoa4,-0.033099436,0.144241698,0.022735578,0.529064163,0.60789747,0.932051808,0.901167392,0.913002423,0.868955943,0.965432998
Apob,-0.312760499,-0.04413367,-0.120041626,-0.150158629,-0.091142598,0.721518819,0.727964406,0.715469206,0.675281742,0.871209886
Apoc1,-0.068017198,0.364759389,-0.074325202,0.415140873,0.396690266,0.762993801,0.930962478,0.897842269,0.827063316,0.923561163
Apoc2,-1.063644087,-1.031950604,-1.07570864,-0.891594013,-0.696334762,0.735640372,0.782452082,0.720402786,0.754598175,1.17323105
Apoc3,-0.135080565,-0.337478608,-0.187242568,-0.125867046,0.017700013,0.855053287,0.878169672,0.891501637,0.758941417,1.031148057
Apoc4,-1.137779176,-1.539852302,-0.852515314,-0.686336277,-0.193733446,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.142073286
