node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2m	Apoh	10090.ENSMUSP00000032203	10090.ENSMUSP00000000049	0	0	0	0	0.061	0.089	0	0.449	0.488
A2m	Serpinf1	10090.ENSMUSP00000032203	10090.ENSMUSP00000000769	0	0	0	0	0.064	0	0	0.347	0.363
A2m	Cfp	10090.ENSMUSP00000032203	10090.ENSMUSP00000001156	0	0	0	0	0.052	0.145	0.322	0.221	0.514
A2m	Col1a1	10090.ENSMUSP00000032203	10090.ENSMUSP00000001547	0	0	0	0	0.064	0	0	0.147	0.167
A2m	Pon1	10090.ENSMUSP00000032203	10090.ENSMUSP00000002663	0	0	0	0	0	0	0	0.264	0.264
A2m	Apoc4	10090.ENSMUSP00000032203	10090.ENSMUSP00000003071	0	0	0	0	0	0	0	0.205	0.205
A2m	Prdx2	10090.ENSMUSP00000032203	10090.ENSMUSP00000005292	0	0	0	0	0	0.372	0	0.197	0.474
A2m	Apoa2	10090.ENSMUSP00000032203	10090.ENSMUSP00000005824	0	0	0	0	0.065	0	0	0.573	0.584
A2m	Itih3	10090.ENSMUSP00000032203	10090.ENSMUSP00000006697	0.043	0	0	0	0.093	0	0	0.270	0.311
A2m	Itih4	10090.ENSMUSP00000032203	10090.ENSMUSP00000006703	0.043	0	0	0	0.065	0	0	0.402	0.418
A2m	Saa4	10090.ENSMUSP00000032203	10090.ENSMUSP00000006952	0	0	0	0	0	0	0	0.296	0.296
A2m	Plg	10090.ENSMUSP00000032203	10090.ENSMUSP00000014578	0	0	0	0	0.066	0.136	0.132	0.697	0.759
A2m	Hspa8	10090.ENSMUSP00000032203	10090.ENSMUSP00000015800	0.041	0	0	0	0	0.081	0	0.174	0.209
A2m	Cd5l	10090.ENSMUSP00000032203	10090.ENSMUSP00000015998	0	0	0	0	0	0	0	0.298	0.298
A2m	Vtn	10090.ENSMUSP00000032203	10090.ENSMUSP00000017488	0	0	0	0	0.085	0.077	0	0.424	0.471
A2m	Egfr	10090.ENSMUSP00000032203	10090.ENSMUSP00000020329	0	0	0	0	0.064	0.058	0	0.197	0.230
A2m	Serpina3n	10090.ENSMUSP00000032203	10090.ENSMUSP00000021506	0	0	0	0	0.063	0	0	0.543	0.554
A2m	Gpld1	10090.ENSMUSP00000032203	10090.ENSMUSP00000021773	0	0	0	0	0.062	0.126	0.180	0.113	0.324
A2m	F12	10090.ENSMUSP00000032203	10090.ENSMUSP00000021948	0	0	0	0	0.089	0.136	0.167	0.413	0.563
A2m	Cpb2	10090.ENSMUSP00000032203	10090.ENSMUSP00000022576	0	0	0	0	0.098	0.130	0	0.399	0.487
A2m	Clu	10090.ENSMUSP00000032203	10090.ENSMUSP00000022616	0	0	0	0	0.076	0	0	0.620	0.634
A2m	C9	10090.ENSMUSP00000032203	10090.ENSMUSP00000022749	0	0	0	0	0.064	0.151	0	0.329	0.420
A2m	Serpind1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023450	0	0	0	0	0.062	0	0	0.480	0.492
A2m	Tfrc	10090.ENSMUSP00000032203	10090.ENSMUSP00000023486	0	0	0	0	0	0	0	0.248	0.248
A2m	Ahsg	10090.ENSMUSP00000032203	10090.ENSMUSP00000023583	0	0	0	0	0.085	0	0	0.508	0.531
A2m	Fetub	10090.ENSMUSP00000032203	10090.ENSMUSP00000023587	0	0	0	0	0.125	0	0	0.296	0.358
A2m	Kng1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023589	0	0	0	0	0.065	0	0.300	0.500	0.644
A2m	Hrg	10090.ENSMUSP00000032203	10090.ENSMUSP00000023590	0	0	0	0	0.082	0	0	0.449	0.473
A2m	Adipoq	10090.ENSMUSP00000032203	10090.ENSMUSP00000023593	0	0	0	0	0	0	0	0.320	0.320
A2m	Pros1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023629	0	0	0	0	0.062	0	0	0.239	0.256
A2m	Serping1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023994	0	0	0	0	0.064	0	0	0.619	0.628
A2m	C3	10090.ENSMUSP00000032203	10090.ENSMUSP00000024988	0	0	0	0.615	0.065	0	0	0.672	0.301
A2m	Cfb	10090.ENSMUSP00000032203	10090.ENSMUSP00000025229	0	0	0	0	0.063	0.136	0.167	0.433	0.566
A2m	C2	10090.ENSMUSP00000032203	10090.ENSMUSP00000025230	0	0	0	0	0.062	0.136	0.167	0.170	0.364
A2m	Apom	10090.ENSMUSP00000032203	10090.ENSMUSP00000025249	0	0	0	0	0.061	0	0	0.277	0.292
A2m	Mbl2	10090.ENSMUSP00000032203	10090.ENSMUSP00000025797	0	0	0	0	0.083	0.089	0	0.364	0.422
A2m	Rbp4	10090.ENSMUSP00000032203	10090.ENSMUSP00000025951	0	0	0	0	0.063	0	0	0.271	0.288
A2m	Spp2	10090.ENSMUSP00000032203	10090.ENSMUSP00000027518	0	0	0	0	0.095	0	0	0.166	0.212
A2m	F13b	10090.ENSMUSP00000032203	10090.ENSMUSP00000027615	0	0	0	0	0.083	0.130	0	0.258	0.356
A2m	C4bp	10090.ENSMUSP00000032203	10090.ENSMUSP00000027657	0	0	0	0	0.052	0.053	0	0.315	0.332
A2m	Pigr	10090.ENSMUSP00000032203	10090.ENSMUSP00000027675	0	0	0	0	0.063	0	0	0.293	0.309
A2m	Apcs	10090.ENSMUSP00000032203	10090.ENSMUSP00000027824	0	0	0	0	0	0.089	0	0.468	0.495
A2m	Hc	10090.ENSMUSP00000032203	10090.ENSMUSP00000028233	0	0	0	0.592	0.062	0	0	0.301	0.165
A2m	Gsn	10090.ENSMUSP00000032203	10090.ENSMUSP00000028239	0	0	0	0	0.080	0	0	0.474	0.495
A2m	Fcna	10090.ENSMUSP00000032203	10090.ENSMUSP00000028307	0	0	0	0	0.052	0	0	0.197	0.206
A2m	Cat	10090.ENSMUSP00000032203	10090.ENSMUSP00000028610	0.102	0	0	0	0.063	0	0	0.220	0.287
A2m	F2	10090.ENSMUSP00000032203	10090.ENSMUSP00000028681	0	0	0	0	0.063	0.136	0.132	0.861	0.889
A2m	Car2	10090.ENSMUSP00000032203	10090.ENSMUSP00000029078	0	0	0	0	0.089	0	0	0.191	0.232
A2m	Bche	10090.ENSMUSP00000032203	10090.ENSMUSP00000029367	0	0	0	0	0.062	0	0	0.253	0.270
A2m	Ambp	10090.ENSMUSP00000032203	10090.ENSMUSP00000030041	0	0	0	0	0.061	0.402	0	0.377	0.619
A2m	Orm1	10090.ENSMUSP00000032203	10090.ENSMUSP00000030044	0	0	0	0	0.090	0	0	0.520	0.544
A2m	Vcp	10090.ENSMUSP00000032203	10090.ENSMUSP00000030164	0	0	0	0	0	0	0	0.150	0.150
A2m	Hgfac	10090.ENSMUSP00000032203	10090.ENSMUSP00000030985	0	0	0	0	0.089	0.136	0.167	0.129	0.352
A2m	Alb	10090.ENSMUSP00000032203	10090.ENSMUSP00000031314	0	0	0	0	0.066	0	0	0.874	0.878
A2m	Pf4	10090.ENSMUSP00000032203	10090.ENSMUSP00000031320	0	0	0	0	0	0	0	0.213	0.213
A2m	C8b	10090.ENSMUSP00000032203	10090.ENSMUSP00000031663	0	0	0	0	0.064	0.079	0	0.204	0.254
A2m	Igsf10	10090.ENSMUSP00000032203	10090.ENSMUSP00000037246	0	0	0	0	0	0.105	0	0.090	0.150
A2m	Acta1	10090.ENSMUSP00000032203	10090.ENSMUSP00000034453	0	0	0	0	0.051	0.056	0	0.128	0.150
A2m	Ecm1	10090.ENSMUSP00000032203	10090.ENSMUSP00000112665	0	0	0	0	0.062	0	0	0.134	0.153
A2m	Actg1	10090.ENSMUSP00000032203	10090.ENSMUSP00000071486	0	0	0	0	0.051	0.065	0	0.125	0.155
A2m	Mst1	10090.ENSMUSP00000032203	10090.ENSMUSP00000035211	0	0	0	0	0	0	0	0.157	0.156
A2m	Mmrn1	10090.ENSMUSP00000032203	10090.ENSMUSP00000119609	0	0	0	0	0	0	0	0.160	0.159
A2m	Gpx3	10090.ENSMUSP00000032203	10090.ENSMUSP00000081011	0	0	0	0	0.064	0	0	0.142	0.163
A2m	Aldoa	10090.ENSMUSP00000032203	10090.ENSMUSP00000084846	0	0	0	0	0.051	0	0	0.170	0.178
A2m	Gpx1	10090.ENSMUSP00000032203	10090.ENSMUSP00000081010	0	0	0	0	0.062	0	0	0.163	0.182
A2m	Apoc2	10090.ENSMUSP00000032203	10090.ENSMUSP00000115173	0	0	0	0	0.052	0	0	0.181	0.190
A2m	Grn	10090.ENSMUSP00000032203	10090.ENSMUSP00000046340	0	0	0	0	0	0	0	0.198	0.198
A2m	Reln	10090.ENSMUSP00000032203	10090.ENSMUSP00000124052	0	0	0	0	0.076	0	0	0.172	0.202
A2m	Igfals	10090.ENSMUSP00000032203	10090.ENSMUSP00000060169	0	0	0	0	0.065	0.105	0	0.132	0.210
A2m	Acta2	10090.ENSMUSP00000032203	10090.ENSMUSP00000048218	0	0	0	0	0.062	0.056	0	0.182	0.213
A2m	F13a1	10090.ENSMUSP00000032203	10090.ENSMUSP00000048667	0	0	0	0	0.062	0	0	0.196	0.213
A2m	Hspa1a	10090.ENSMUSP00000032203	10090.ENSMUSP00000084586	0.041	0	0	0	0.049	0.081	0	0.177	0.217
A2m	Mbl1	10090.ENSMUSP00000032203	10090.ENSMUSP00000048765	0	0	0	0	0.083	0.089	0	0.142	0.220
A2m	C1qb	10090.ENSMUSP00000032203	10090.ENSMUSP00000040246	0	0	0	0	0.099	0	0	0.173	0.223
A2m	Sepp1	10090.ENSMUSP00000032203	10090.ENSMUSP00000124305	0	0	0	0	0.080	0	0	0.197	0.229
A2m	C1qc	10090.ENSMUSP00000032203	10090.ENSMUSP00000036747	0	0	0	0	0.109	0	0	0.172	0.230
A2m	C4b	10090.ENSMUSP00000032203	10090.ENSMUSP00000069418	0	0	0	0.595	0.066	0	0	0.472	0.236
A2m	Fbln1	10090.ENSMUSP00000032203	10090.ENSMUSP00000054583	0	0	0	0	0.061	0	0	0.225	0.241
A2m	Serpina6	10090.ENSMUSP00000032203	10090.ENSMUSP00000044033	0	0	0	0	0.063	0	0	0.232	0.249
A2m	Tgm2	10090.ENSMUSP00000032203	10090.ENSMUSP00000099411	0	0	0	0	0.062	0.052	0	0.224	0.250
A2m	Pglyrp2	10090.ENSMUSP00000032203	10090.ENSMUSP00000129964	0	0	0	0	0	0	0	0.257	0.257
A2m	Serpina10	10090.ENSMUSP00000032203	10090.ENSMUSP00000048357	0	0	0	0	0.118	0	0	0.195	0.259
A2m	Itih2	10090.ENSMUSP00000032203	10090.ENSMUSP00000046530	0.043	0	0	0	0.085	0	0	0.236	0.272
A2m	Igj	10090.ENSMUSP00000032203	10090.ENSMUSP00000084259	0	0	0	0	0	0	0	0.276	0.276
A2m	Apoc1	10090.ENSMUSP00000032203	10090.ENSMUSP00000104091	0	0	0	0	0.062	0	0	0.264	0.280
A2m	Lum	10090.ENSMUSP00000032203	10090.ENSMUSP00000040877	0	0	0	0	0.080	0.105	0	0.205	0.288
A2m	Proz	10090.ENSMUSP00000032203	10090.ENSMUSP00000033822	0	0	0	0	0.095	0.136	0.167	0	0.291
A2m	Lcat	10090.ENSMUSP00000032203	10090.ENSMUSP00000038232	0	0	0	0	0	0.130	0	0.223	0.295
A2m	Saa2	10090.ENSMUSP00000032203	10090.ENSMUSP00000075365	0	0	0	0	0	0	0	0.309	0.309
A2m	Serpina3k	10090.ENSMUSP00000032203	10090.ENSMUSP00000042095	0	0	0	0	0.063	0	0	0.298	0.314
A2m	Actb	10090.ENSMUSP00000032203	10090.ENSMUSP00000098066	0	0	0	0	0.051	0.091	0	0.276	0.320
A2m	Postn	10090.ENSMUSP00000032203	10090.ENSMUSP00000072773	0	0	0	0	0.064	0.056	0	0.297	0.325
A2m	Itih1	10090.ENSMUSP00000032203	10090.ENSMUSP00000126449	0.043	0	0	0	0.065	0	0	0.309	0.328
A2m	Azgp1	10090.ENSMUSP00000032203	10090.ENSMUSP00000038559	0	0	0	0	0.062	0	0	0.313	0.328
A2m	Agt	10090.ENSMUSP00000032203	10090.ENSMUSP00000066488	0	0	0	0	0.095	0	0	0.289	0.329
A2m	Saa1	10090.ENSMUSP00000032203	10090.ENSMUSP00000119150	0	0	0	0	0	0	0	0.337	0.337
A2m	Hspa1b	10090.ENSMUSP00000032203	10090.ENSMUSP00000133815	0.041	0	0	0	0.049	0.081	0	0.304	0.338
A2m	F5	10090.ENSMUSP00000032203	10090.ENSMUSP00000083204	0	0	0	0	0.062	0	0	0.325	0.340
A2m	Gapdh	10090.ENSMUSP00000032203	10090.ENSMUSP00000113942	0	0	0	0	0	0.090	0	0.306	0.341
A2m	C8a	10090.ENSMUSP00000032203	10090.ENSMUSP00000067541	0	0	0	0	0.097	0.133	0	0.240	0.353
A2m	Afm	10090.ENSMUSP00000032203	10090.ENSMUSP00000108804	0	0	0	0	0.062	0	0	0.339	0.354
A2m	Apoc3	10090.ENSMUSP00000032203	10090.ENSMUSP00000034586	0	0	0	0	0.063	0	0	0.340	0.355
A2m	Thbs1	10090.ENSMUSP00000032203	10090.ENSMUSP00000044903	0	0	0	0	0.051	0	0	0.350	0.356
A2m	Masp1	10090.ENSMUSP00000032203	10090.ENSMUSP00000087327	0	0	0	0	0.079	0.136	0.167	0.166	0.373
A2m	Masp2	10090.ENSMUSP00000032203	10090.ENSMUSP00000049729	0	0	0	0	0.064	0.136	0.167	0.197	0.386
A2m	Fgb	10090.ENSMUSP00000032203	10090.ENSMUSP00000039472	0	0	0	0	0.084	0	0	0.364	0.393
A2m	F10	10090.ENSMUSP00000032203	10090.ENSMUSP00000068389	0	0	0	0	0.062	0.136	0.132	0.243	0.396
A2m	Fga	10090.ENSMUSP00000032203	10090.ENSMUSP00000133117	0	0	0	0	0.065	0	0	0.410	0.425
A2m	C8g	10090.ENSMUSP00000032203	10090.ENSMUSP00000041855	0	0	0	0	0	0.265	0	0.252	0.427
A2m	Serpina1c	10090.ENSMUSP00000032203	10090.ENSMUSP00000073695	0	0	0	0	0.065	0	0	0.419	0.434
A2m	Orm2	10090.ENSMUSP00000032203	10090.ENSMUSP00000074810	0	0	0	0	0.090	0	0	0.405	0.435
A2m	Serpina1d	10090.ENSMUSP00000032203	10090.ENSMUSP00000077909	0	0	0	0	0.065	0	0	0.428	0.442
A2m	Cfd	10090.ENSMUSP00000032203	10090.ENSMUSP00000056836	0	0	0	0	0.048	0.136	0.167	0.288	0.447
A2m	Fgg	10090.ENSMUSP00000032203	10090.ENSMUSP00000037018	0	0	0	0	0.065	0	0	0.435	0.449
A2m	Apoa4	10090.ENSMUSP00000032203	10090.ENSMUSP00000034585	0	0	0	0	0.096	0	0	0.428	0.461
A2m	F7	10090.ENSMUSP00000032203	10090.ENSMUSP00000033820	0	0	0	0	0.099	0.136	0.132	0.299	0.463
A2m	Vwf	10090.ENSMUSP00000032203	10090.ENSMUSP00000107873	0	0	0	0	0.080	0	0	0.442	0.466
A2m	C1qa	10090.ENSMUSP00000032203	10090.ENSMUSP00000048836	0	0	0	0	0.062	0	0	0.464	0.475
A2m	Cfi	10090.ENSMUSP00000032203	10090.ENSMUSP00000077074	0	0	0	0	0.064	0.136	0.167	0.327	0.486
A2m	Serpina1e	10090.ENSMUSP00000032203	10090.ENSMUSP00000082130	0	0	0	0	0.065	0	0	0.476	0.489
A2m	Serpina1a	10090.ENSMUSP00000032203	10090.ENSMUSP00000082132	0	0	0	0	0.065	0	0	0.488	0.501
A2m	Serpina1b	10090.ENSMUSP00000032203	10090.ENSMUSP00000093101	0	0	0	0	0.065	0	0	0.494	0.506
A2m	Fn1	10090.ENSMUSP00000032203	10090.ENSMUSP00000054499	0	0	0	0	0.062	0.043	0	0.494	0.506
