name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
A2m,38.28735,38.00864,37.90561,37.95139,37.93006,37.99449,38.11012,38.61541,38.16872,38.05854,0.172846
Apoh,30.37223,30.09182,30.12288,29.41774,29.52809,30.48232,30.49286,30.88409,30.58109,30.24785,0.63109
Serpinf1,26.92048,26.54813,25.45453,25.41503,26.09911,27.80888,25.83557,25.92994,25.92633,26.94257,0.401202
Cfp,29.8859,29.92181,29.86558,30.91471,29.75113,30.66068,31.10936,28.44095,30.78714,30.98536,0.328872
Col1a1,26.10085,24.94311,25.08995,23.41142,25.06919,22.77325,23.25516,24.61425,22.51395,24.48867,-1.393848
Pon1,27.65533,27.10689,27.0476,27.43285,27.35085,28.66959,28.73134,29.15081,28.01244,28.44221,1.282574
Apoc4,24.71461,24.55104,24.96089,23.22744,23.88241,24.59685,25.04331,25.49439,25.08298,24.75537,0.727302
Prdx2,25.99529,25.43905,24.88367,26.50854,20.80877,26.47393,26.69578,26.13886,27.50877,26.47314,1.931032
Apoa2,25.39284,26.66519,26.13843,26.04768,26.61484,30.12952,29.44128,28.22995,28.52365,28.772,2.847484
Itih3,28.89195,28.42045,28.60148,28.52869,28.48911,27.92048,28.15103,28.76575,28.1517,28.24921,-0.338702
Itih4,32.18136,31.75422,31.88191,31.54972,31.72334,31.34117,31.3931,32.10684,31.47822,31.58786,-0.236672
Saa4,26.39098,26.08659,25.89312,26.32265,26.11237,26.13261,27.03779,27.54053,26.62087,26.71398,0.648014
Plg,34.97857,34.88272,34.8409,34.89681,34.88867,34.509,34.75628,34.73651,34.77245,34.66135,-0.210416
Hspa8,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,0.774234
Cd5l,31.99203,32.35828,32.28893,32.0037,32.47269,32.33626,32.5852,31.88169,32.52753,32.79996,0.203002
Vtn,30.36557,29.57407,29.86909,29.93115,29.5995,29.99389,29.99415,30.91784,30.05943,30.09899,0.344984
Egfr,29.89644,29.51587,29.82483,29.17931,29.2826,29.98983,30.1795,30.77886,30.12349,29.9428,0.663086
Serpina3n,25.52815,24.9162,25.01776,25.31257,25.11629,24.98124,24.42554,25.61734,25.27437,24.85776,-0.146944
Gpld1,30.05504,30.35311,30.39213,30.04583,29.90813,30.68537,31.06162,30.8589,30.97357,30.82214,0.729472
F12,28.27706,27.96014,28.62961,27.92122,28.05383,27.97607,28.39239,28.88346,28.4852,28.4746,0.273972
Cpb2,24.43052,23.78736,25.41203,24.11362,25.19069,23.70757,24.12526,25.23994,23.62176,23.47741,-0.552456
Clu,30.88081,30.44144,30.46791,30.39243,30.42031,30.56629,30.84857,31.51018,31.23118,31.07246,0.525156
C9,29.61045,29.24642,29.28531,29.33191,29.26403,28.4773,28.91094,29.37805,28.81961,28.61045,-0.508354
Serpind1,27.95249,27.55296,27.7145,27.55604,27.51382,27.14248,27.51503,28.38595,27.45372,27.58219,-0.042088
Tfrc,28.40673,27.30295,28.06671,26.81042,27.67694,28.03396,27.99906,29.00292,28.33611,28.73108,0.767876
Ahsg,32.27481,31.88987,32.26495,31.50956,31.58567,31.85983,31.97011,32.50344,32.6805,32.39312,0.376428
Fetub,28.68335,28.35515,28.14822,28.22899,27.87156,28.61193,28.8091,29.71344,28.89804,28.61224,0.671496
