name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_4_1_norm,r1_4_2_norm,r1_4_3_norm,r14_4_norm,FoldCh_norm
A2m,2.665647787,2.676142526,2.640282603,2.713593332,2.664696328,2.681448587,2.414556138,2.617916974,2.653735264,0.078418257
Apoh,0.619633088,0.560680757,0.57070637,0.4071834,0.459712235,0.689264013,0.811616862,0.743204093,0.658230791,0.842560194
Serpinf1,-0.272625176,-0.386232362,-0.670696867,-0.674638575,-0.440177476,-0.599355986,-0.060518106,-0.219316314,-0.47892203,0.528651399
Cfp,0.493919476,0.515252207,0.502285396,0.811773051,0.518246085,0.767234865,0.694802584,0.702299076,0.735299751,0.665939909
Col1a1,-0.484494994,-0.815111438,-0.767645637,-1.216159027,-0.710466137,-1.693688274,-1.227051416,-1.435218779,-1.510567612,-2.567688483
Pon1,-0.08267052,-0.236925516,-0.247069192,-0.129277553,-0.111675138,-0.074135931,-0.011126684,-0.0032976,-0.159291124,0.35346298
Apoc4,-0.842830359,-0.919876874,-0.801965151,-1.26588374,-1.021920596,-1.017723663,-0.689558241,-0.798527009,-0.917634564,0.305408937
Prdx2,-0.511781669,-0.682590791,-0.82249942,-0.37909302,-1.828556101,-0.318033772,-0.32138659,-0.480764078,-0.458889482,1.559618382
Apoa2,-0.667511659,-0.354952636,-0.488834823,-0.503650751,-0.30483107,0.120241763,-0.591667553,0.479610644,0.422452044,1.947552365
Itih3,0.236988904,0.114072228,0.166137114,0.166897737,0.187045899,0.193563539,0.312414704,0.277900801,0.154526373,0.263930541
Itih4,1.087283177,1.004892403,1.038465971,0.983398718,1.03582609,1.059556709,1.092659749,1.058487854,1.080832563,0.317177399
Saa4,-0.409497995,-0.509560949,-0.554067427,-0.429333954,-0.436697568,-0.517554078,-0.283662697,-0.363555422,-0.503022898,0.142367102
Plg,1.810346476,1.840862167,1.825317806,1.888024712,1.866524403,1.762087853,1.627489903,1.751202667,1.765027068,-0.179679806
Hspa8,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.51032279,-2.061475942,-0.854469913,-0.814906145,-1.545096292
Cd5l,1.03834242,1.166303909,1.146700346,1.106096975,1.232482926,1.039586136,0.374760335,1.018094699,0.915693925,-1.019923774
Vtn,0.617911515,0.422332237,0.503218772,0.545943945,0.478452829,0.67143665,0.681763195,0.671972542,0.662474952,0.665857401
Egfr,0.496644008,0.406780554,0.491449194,0.342742355,0.395286684,0.46544036,0.570209953,0.442128382,0.537361446,0.359506334
Serpina3n,-0.632534773,-0.822302087,-0.786842334,-0.702330684,-0.698105375,-0.323258187,0.042467739,-0.096702085,-0.253416658,2.044380864
Gpld1,0.537641229,0.630500332,0.642305076,0.576938782,0.559448625,0.698491268,0.829381545,0.680669026,0.653253959,0.577432926
F12,0.078043243,-0.00892769,0.173617417,0.002715372,0.072812514,0.093397103,0.344108691,0.1744116,0.176088204,0.529489679
Cpb2,-0.916266051,-1.123940607,-0.681998427,-1.026373759,-0.678580095,-1.147649633,-0.543901291,-0.894012549,-1.02767104,-0.139505507
Clu,0.751098203,0.654103084,0.662456422,0.67061519,0.693863381,0.628711514,0.754375356,0.683590259,0.628580275,0.0704197
C9,0.422717176,0.334780537,0.347980544,0.383985921,0.390413237,0.141946535,0.304634109,0.174584806,0.192545319,-0.567304502
Serpind1,-0.005856305,-0.117730684,-0.069727772,-0.095982698,-0.068905852,-0.264960694,-0.004294286,-0.200827236,-0.099742318,-0.251664926
Tfrc,0.11156222,-0.184536118,0.023931579,-0.297503193,-0.026097201,-0.049911659,0.197864442,-0.154780332,0.029785862,0.30836555
Ahsg,1.111439485,1.041139582,1.140323607,0.972544579,0.999696449,0.984887927,1.196398772,1.094693046,1.06960272,0.302892209
Fetub,0.183066959,0.096623346,0.045606642,0.085897103,0.024978202,0.280142678,0.399635374,0.259466012,0.299038333,0.85168133
Kng1,1.160225145,1.118467787,1.149229236,1.073888615,1.098348976,1.145282381,1.08485898,1.079551753,1.170604701,0.16172771
Hrg,0.715149378,0.642236241,0.619215324,0.639171701,0.717831712,0.633614175,0.764785348,0.635361479,0.656898662,0.136668868
Adipoq,0.473110672,0.647005958,0.595697443,0.563373811,0.613891089,0.30980405,0.208740687,0.303545607,0.223059054,-1.097005999
Serping1,-0.62355726,-0.676923244,-0.558986929,-0.997862725,-0.625623022,-0.6645412,-0.335791114,-0.640126384,-0.547952928,0.478763321
C3,2.169651195,2.202676615,2.163846063,2.217997563,2.179175573,2.313863534,2.040285093,2.247287482,2.262230699,0.411270877
Cfb,0.866241976,0.798226035,0.789722625,0.803240552,0.820625488,0.853993968,0.857269295,0.799550282,0.805913217,0.176426855
C2,0.005277052,-0.168639733,0.005168331,-0.155583164,-0.134535987,-0.24535823,-0.279318476,-0.480570191,-0.556651726,-1.119877202
Apom,-0.894575781,-1.185602228,-1.23089791,-1.002500599,-1.010798535,-1.207141434,-0.807939397,-1.091702465,-1.23324777,-0.191729738
Mbl2,0.387349963,0.319199461,0.353506342,0.296690644,0.462748626,0.007586902,0.334815016,0.186838473,0.069712417,-0.707422328
Rbp4,0.109977649,-0.032471655,-0.037902579,-0.056747256,0.078609737,0.112026124,0.155708906,0.100095951,0.092137468,0.386071064
Spp2,-0.056939981,0.060402889,0.017881921,0.08597278,0.029484238,0.131672216,0.299077182,0.20538701,0.152989096,0.656067244
F13b,0.956448789,0.855011054,0.844467381,0.847370627,0.95168893,0.735602067,0.70801906,0.766501572,0.728692394,-0.451039488
C4bp,1.364133333,1.27497597,1.296364911,1.265400923,1.317633092,1.312534562,1.362001482,1.300381453,1.365233999,0.316576741
Pigr,-0.396110567,-0.582977184,-0.65090717,-0.526399578,-0.618387646,-0.520248088,-0.266624293,-0.392555769,-0.858687879,0.125835339
Apcs,-0.555229419,-0.60154568,-0.572168537,-0.578362146,-0.501913053,-0.350640012,-0.053831412,-0.195111443,-0.184955912,1.298335041
Hc,1.505943395,1.525368755,1.56687905,1.524565113,1.5239161,1.420867555,1.402778434,1.415191078,1.400154415,-0.212394914
Gsn,1.04441187,1.250894911,1.24925469,1.345652902,1.2305199,1.102221857,1.070539637,1.074805395,1.088742742,-0.33183672
Fcna,0.849628537,1.018434659,-0.094774688,1.02700987,0.93272264,0.903192362,0.26863849,0.838687048,0.857693051,-0.071272849
Cat,-0.513268012,0.0603922,0.186176774,0.131992058,-0.293005679,0.412080975,0.411908136,0.406776293,0.304867728,1.748387609
F2,1.009489268,0.950579086,0.972403699,0.998806946,0.974221733,0.954708477,0.963893258,0.949055365,0.868038361,-0.021499811
Car2,-0.495240608,-0.498947326,-0.439482905,-0.520737371,-1.056908638,0.181849506,0.192013865,-0.322588362,-0.323894247,1.926396385
Bche,-1.569062799,-1.38223215,-1.30462131,-1.487350337,-1.825456725,-1.836138116,-1.599040513,-1.716114717,-2.177963976,-1.365887615
Ambp,0.334779944,0.253962556,0.181310456,0.297504164,0.309039533,0.223047673,0.350026516,0.284079338,0.270261694,0.077376771
Orm1,-1.207584142,-1.489616254,-1.362517207,-1.585221373,-1.277255622,-1.244290407,-0.924226899,-1.168554159,-1.20447646,0.743594504
Vcp,-0.956841927,-1.187825424,-0.7040963,-0.783355642,-0.880462042,-0.5873611,-0.662461775,-0.513370725,-0.59347975,1.01734786
Hgfac,-0.558217615,-0.037177242,-0.082425407,-0.520202232,-0.254566596,-0.201738726,-1.591448212,-0.124740751,-0.16212323,-1.067377631
Alb,2.486684315,2.574193495,2.545179311,2.636300835,2.530397044,2.700663855,2.33139949,2.622076499,2.648377443,0.427039325
Pf4,-0.682258768,-0.696720911,-0.877637737,-0.995930277,-0.976521696,-0.193100445,0.134005731,-0.518569486,-0.479111192,2.085758364
C8b,1.311152307,1.346198403,1.324384802,1.3609314,1.340152773,1.259098829,1.164337162,1.208703856,1.212369592,-0.270676171
Igsf10,0.472593683,0.414601821,0.239126577,0.469767673,0.479185027,0.588271378,0.666047335,0.574170696,0.519454975,0.713097209
Acta1,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,0.113351315,-0.563685656,0.172645934,0.246659042,-1.150144418
Ecm1,0.200698866,0.210332336,0.192420554,0.189081694,0.233993175,0.245131462,0.389617662,0.209957576,0.174228553,0.235861809
Actg1,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,0.113351315,-0.563685656,0.172645934,0.246659042,-1.150144418
