name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_5_1_norm,r1_5_2_norm,r1_5_3_norm,r1_5_4_norm,r1_5_5_norm,FoldCh_norm
A2m,2.665647787,2.676142526,2.640282603,2.713593332,2.664696328,2.620293777,2.626756343,2.617503857,2.582769801,2.581362055,-0.137667057
Apoh,0.619633088,0.560680757,0.57070637,0.4071834,0.459712235,0.712793117,0.668469368,0.726933621,0.701684517,0.693178952,0.519985329
Serpinf1,-0.272625176,-0.386232362,-0.670696867,-0.674638575,-0.440177476,-0.70129621,-0.630548211,-0.769910804,-0.85815083,-0.721050218,-0.730970723
Cfp,0.493919476,0.515252207,0.502285396,0.811773051,0.518246085,0.673025411,0.781763947,0.892661645,0.889769419,0.763560004,0.684529444
Col1a1,-0.484494994,-0.815111438,-0.767645637,-1.216159027,-0.710466137,-0.718212752,-0.723590263,-0.709310449,-0.611924033,-0.62624109,0.324450958
Pon1,-0.08267052,-0.236925516,-0.247069192,-0.129277553,-0.111675138,-0.077033516,-0.031566647,0.040100404,0.018985887,0.020868414,0.445062463
Apoc4,-0.842830359,-0.919876874,-0.801965151,-1.26588374,-1.021920596,-0.500416835,-0.572163389,-0.577727022,-0.43691937,-0.476368569,1.299964232
Prdx2,-0.511781669,-0.682590791,-0.82249942,-0.37909302,-1.828556101,0.007530928,-0.337273577,-0.174295281,-0.192855304,-0.09594511,1.974339902
Apoa2,-0.667511659,-0.354952636,-0.488834823,-0.503650751,-0.30483107,0.34307454,0.624670743,0.493569306,0.774222983,0.752311508,3.059665714
Itih3,0.236988904,0.114072228,0.166137114,0.166897737,0.187045899,0.212272765,0.248298828,0.387961251,0.304692261,0.268117854,0.31954137
Itih4,1.087283177,1.004892403,1.038465971,0.983398718,1.03582609,1.037161685,0.978123779,0.993755128,1.010926493,1.031194559,-0.037243802
Saa4,-0.409497995,-0.509560949,-0.554067427,-0.429333954,-0.436697568,-0.664182641,-0.417258782,-0.69732202,-0.6158938,-0.688135332,-0.4415739
Plg,1.810346476,1.840862167,1.825317806,1.888024712,1.866524403,1.832262667,1.844709338,1.828141305,1.837152055,1.841065323,0.010351251
Hspa8,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.974518465,-1.031971551,-0.589235064,-1.057135066,-0.924165097,-0.580649527
Cd5l,1.03834242,1.166303909,1.146700346,1.106096975,1.232482926,1.110937331,1.054754025,1.079874356,1.083815462,1.104911119,-0.123635539
Vtn,0.617911515,0.422332237,0.503218772,0.545943945,0.478452829,0.705188241,0.705734231,0.659350411,0.74731217,0.709183102,0.563436398
Egfr,0.496644008,0.406780554,0.491449194,0.342742355,0.395286684,0.343622592,0.318782319,0.197523846,0.286606325,0.27869034,-0.401528553
Serpina3n,-0.632534773,-0.822302087,-0.786842334,-0.702330684,-0.698105375,-0.426573335,-0.621510908,-0.763042074,-0.608406026,-0.666804326,0.306190389
Gpld1,0.537641229,0.630500332,0.642305076,0.576938782,0.559448625,0.532815407,0.519054935,0.508240999,0.546178185,0.56723405,-0.14453015
F12,0.078043243,-0.00892769,0.173617417,0.002715372,0.072812514,0.243746616,0.22769399,0.185535417,0.259557908,0.194739299,0.458782574
Cpb2,-0.916266051,-1.123940607,-0.681998427,-1.026373759,-0.678580095,-0.707799762,-1.216496948,-0.695145683,-0.993922566,-0.834051359,-0.030646543
Clu,0.751098203,0.654103084,0.662456422,0.67061519,0.693863381,0.804737996,0.677971081,0.827461788,0.840026605,0.807209829,0.317127591
C9,0.422717176,0.334780537,0.347980544,0.383985921,0.390413237,-0.040303584,-0.136381748,-0.059204237,-0.082415821,-0.070172874,-1.303180781
Serpind1,-0.005856305,-0.117730684,-0.069727772,-0.095982698,-0.068905852,-0.270140989,-0.284448325,-0.275014541,-0.249543263,-0.275748116,-0.578370943
Tfrc,0.11156222,-0.184536118,0.023931579,-0.297503193,-0.026097201,-0.387455462,-0.291590624,-0.41682675,-0.432222635,-0.22132143,-0.803256508
